,name,text
0,Angelic Blessing,Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)
1,Wrath of God,Destroy all creatures. They can't be regenerated.
2,Counsel of the Soratami,Draw two cards.
3,Reminisce,Target player shuffles their graveyard into their library.
4,Sift,"Draw three cards, then discard a card."
5,Tidings,Draw four cards.
6,Time Stretch,Target player takes two extra turns after this one.
7,Traumatize,"Target player mills half their library, rounded down."
8,Agonizing Memories,Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.
9,Assassinate,Destroy target tapped creature.
10,Beacon of Unrest,Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.
11,Consume Spirit,"Spend only black mana on X.
Consume Spirit deals X damage to any target and you gain X life."
12,Cruel Edict,Target opponent sacrifices a creature.
13,Deathmark,Destroy target green or white creature.
14,Diabolic Tutor,"Search your library for a card, put that card into your hand, then shuffle."
15,Distress,Target player reveals their hand. You choose a nonland card from it. That player discards that card.
16,Essence Drain,Essence Drain deals 3 damage to any target and you gain 3 life.
17,Head Games,"Target opponent puts the cards from their hand on top of their library. Search that player's library for that many cards. The player puts those cards into their hand, then shuffles."
18,Midnight Ritual,"Exile X target creature cards from your graveyard. For each creature card exiled this way, create a 2/2 black Zombie creature token."
19,Mind Rot,Target player discards two cards.
20,Plague Wind,Destroy all creatures you don't control. They can't be regenerated.
21,Rain of Tears,Destroy target land.
22,Recover,"Return target creature card from your graveyard to your hand.
Draw a card."
23,Soul Feast,Target player loses 4 life and you gain 4 life.
24,Stronghold Discipline,Each player loses 1 life for each creature they control.
25,Blaze,Blaze deals X damage to any target.
26,Cone of Flame,"Cone of Flame deals 1 damage to any target, 2 damage to another target, and 3 damage to a third target."
27,Cryoclasm,Destroy target Plains or Island. Cryoclasm deals 3 damage to that land's controller.
28,Demolish,Destroy target artifact or land.
29,Flowstone Slide,All creatures get +X/-X until end of turn.
30,Goblin Lore,"Draw four cards, then discard three cards at random."
31,Lava Axe,Lava Axe deals 5 damage to target player or planeswalker.
32,Pyroclasm,Pyroclasm deals 2 damage to each creature.
33,Relentless Assault,"Untap all creatures that attacked this turn. After this main phase, there is an additional combat phase followed by an additional main phase."
34,Shatterstorm,Destroy all artifacts. They can't be regenerated.
35,Spitting Earth,Spitting Earth deals damage to target creature equal to the number of Mountains you control.
36,Threaten,Untap target creature and gain control of it until end of turn. That creature gains haste until end of turn. (It can attack and {T} this turn.)
