name,attack,defense,cost,type,text
Cloven Casting,,,{5}{U}{R},Enchantment,"Whenever you cast a multicolored instant or sorcery spell , you may pay { 1 } . If you do , copy that spell . You may choose new targets for the copy ."
Ethersworn Shieldmage,2,2,{1}{W}{U},Artifact Creature - Vedalken Wizard,"Flash$When Ethersworn Shieldmage enters the battlefield , prevent all damage that would be dealt to artifact creatures this turn ."
Intimidation Bolt,,,{1}{R}{W},Instant,Intimidation Bolt deals 3 damage to target creature . Other creatures can't attack this turn .
Mage Slayer,,,{1}{R}{G},Artifact - Equipment,"Whenever equipped creature attacks , it deals damage equal to its power to defending player . $Equip { 3 }"
Putrid Leech,2,2,{B}{G},Creature - Zombie Leech,Pay 2 life : Putrid Leech gets +2/+2 until end of turn . Activate this ability only once each turn .
Sovereigns of Lost Alara,5,4,{4}{W}{U},Creature - Spirit,"Exalted < i > (Whenever a creature you control attacks alone , that creature gets +1/+1 until end of turn . ) < /i > $Whenever a creature you control attacks alone , you may search your library for an Aura card that could enchant that creature , put it onto the battlefield attached to that creature , then shuffle your library ."
Vedalken Heretic,1,1,{G}{U},Creature - Vedalken Rogue,"Whenever Vedalken Heretic deals damage to an opponent , you may draw a card ."
Dystopia,,,{1}{B}{B},Enchantment,"Cumulative upkeep-Pay 1 life . < i > (At the beginning of your upkeep , put an age counter on this permanent , then sacrifice it unless you pay its upkeep cost for each age counter on it . ) < /i > $At the beginning of each player's upkeep , that player sacrifices a green or white permanent ."
Phelddagrif,4,4,{1}{G}{W}{U},Legendary Creature - Phelddagrif,{ G }: Phelddagrif gains trample until end of turn . Target opponent puts a 1/1 green Hippo creature token onto the battlefield . ${W }: Phelddagrif gains flying until end of turn . Target opponent gains 2 life . ${U }: Return Phelddagrif to its owner's hand . Target opponent may draw a card .
Yavimaya Ants,1,5,{2}{G}{G},Creature - Insect,"Trample , haste$Cumulative upkeep { G}{G } < i > (At the beginning of your upkeep , put an age counter on this permanent , then sacrifice it unless you pay its upkeep cost for each age counter on it . ) < /i >"
Priest of Yawgmoth,2,1,{1}{B},Creature - Human Cleric,"{ tap } , Sacrifice an artifact : Add to your mana pool an amount of { B } equal to the sacrificed artifact's converted mana cost ."
Cromat,5,5,{W}{U}{B}{R}{G},Legendary Creature - Illusion,{ W}{B }: Destroy target creature blocking or blocked by Cromat . ${U}{R }: Cromat gains flying until end of turn . ${B}{G }: Regenerate Cromat . ${R}{W }: Cromat gets +1/+1 until end of turn . ${G}{U }: Put Cromat on top of its owner's library .
Fungal Shambler,4,6,{4}{G}{U}{B},Creature - Fungus Beast,"Trample$Whenever Fungal Shambler deals damage to an opponent , you draw a card and that opponent discards a card ."
Legacy Weapon,,,{7},Legendary Artifact,"{ W}{U}{B}{R}{G }: Exile target permanent . $If Legacy Weapon would be put into a graveyard from anywhere , reveal Legacy Weapon and shuffle it into its owner's library instead ."
Phyrexian Arena,,,{1}{B}{B},Enchantment,"At the beginning of your upkeep , you draw a card and you lose 1 life ."
