,name,text
0,Bandage,"Prevent the next 1 damage that would be dealt to any target this turn.
Draw a card."
1,Beacon of Immortality,Double target player's life total. Shuffle Beacon of Immortality into its owner's library.
2,Condemn,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.
3,Demystify,Destroy target enchantment.
4,Hail of Arrows,Hail of Arrows deals X damage divided as you choose among any number of target attacking creatures.
5,Holy Day,Prevent all combat damage that would be dealt this turn.
6,Luminesce,Prevent all damage that black sources and red sources would deal this turn.
7,Reviving Dose,"You gain 3 life.
Draw a card."
8,Righteousness,Target blocking creature gets +7/+7 until end of turn.
9,Tempest of Light,Destroy all enchantments.
10,Warrior's Honor,Creatures you control get +1/+1 until end of turn.
11,Aura Graft,Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.
12,Boomerang,Return target permanent to its owner's hand.
13,Cancel,Counter target spell.
14,Deluge,Tap all creatures without flying.
15,Discombobulate,"Counter target spell. Look at the top four cards of your library, then put them back in any order."
16,Evacuation,Return all creatures to their owners' hands.
17,Flashfreeze,Counter target red or green spell.
18,Hurkyl's Recall,Return all artifacts target player owns to their hand.
19,Mind Bend,"Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another. (For example, you may change ""nonblack creature"" to ""nongreen creature"" or ""forestwalk"" to ""islandwalk."" This effect lasts indefinitely.)"
20,Peek,"Look at target player's hand.
Draw a card."
21,Plagiarize,"Until end of turn, if target player would draw a card, instead that player skips that draw and you draw a card."
22,Remove Soul,Counter target creature spell.
23,Telling Time,"Look at the top three cards of your library. Put one of those cards into your hand, one on top of your library, and one on the bottom of your library."
24,Time Stop,"End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)"
25,Twincast,Copy target instant or sorcery spell. You may choose new targets for the copy.
26,Twitch,"You may tap or untap target artifact, creature, or land.
Draw a card."
27,Unsummon,Return target creature to its owner's hand.
28,Afflict,"Target creature gets -1/-1 until end of turn.
Draw a card."
29,Terror,"Destroy target nonartifact, nonblack creature. It can't be regenerated."
30,Beacon of Destruction,Beacon of Destruction deals 5 damage to any target. Shuffle Beacon of Destruction into its owner's library.
31,Fists of the Anvil,Target creature gets +4/+0 until end of turn.
32,Guerrilla Tactics,"Guerrilla Tactics deals 2 damage to any target.
When a spell or ability an opponent controls causes you to discard Guerrilla Tactics, Guerrilla Tactics deals 4 damage to any target."
33,Incinerate,Incinerate deals 3 damage to any target. A creature dealt damage this way can't be regenerated this turn.
34,Shock,Shock deals 2 damage to any target.
35,Shunt,Change the target of target spell with a single target.
36,Smash,"Destroy target artifact.
Draw a card."
37,Soulblast,"As an additional cost to cast this spell, sacrifice all creatures you control.
Soulblast deals damage to any target equal to the total power of the sacrificed creatures."
38,Stun,"Target creature can't block this turn.
Draw a card."
39,Sudden Impact,Sudden Impact deals damage to target player equal to the number of cards in that player's hand.
40,Aggressive Urge,"Target creature gets +1/+1 until end of turn.
Draw a card."
41,Giant Growth,Target creature gets +3/+3 until end of turn.
42,Might of Oaks,Target creature gets +7/+7 until end of turn.
43,Naturalize,Destroy target artifact or enchantment.
44,Blaze of Glory,"Cast this spell only during combat before blockers are declared.
Target creature defending player controls can block any number of creatures this turn. It blocks each attacking creature this turn if able."
45,Death Ward,Regenerate target creature.
46,Disenchant,Destroy target artifact or enchantment.
47,Guardian Angel,"Prevent the next X damage that would be dealt to any target this turn. Until end of turn, you may pay {1} any time you could cast an instant. If you do, prevent the next 1 damage that would be dealt to that permanent or player this turn."
48,Healing Salve,"Choose one —
• Target player gains 3 life.
• Prevent the next 3 damage that would be dealt to any target this turn."
49,Purelace,Target spell or permanent becomes white. (Mana symbols on that permanent remain unchanged.)
50,Reverse Damage,"The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way."
51,Swords to Plowshares,Exile target creature. Its controller gains life equal to its power.
52,Ancestral Recall,Target player draws three cards.
53,Blue Elemental Blast,"Choose one —
• Counter target red spell.
• Destroy target red permanent."
54,Counterspell,Counter target spell.
55,Jump,Target creature gains flying until end of turn.
56,Magical Hack,"Change the text of target spell or permanent by replacing all instances of one basic land type with another. (For example, you may change ""swampwalk"" to ""plainswalk."" This effect lasts indefinitely.)"
57,Mana Short,Tap all lands target player controls and that player loses all unspent mana.
58,Power Sink,"Counter target spell unless its controller pays {X}. If that player doesn't, they tap all lands with mana abilities they control and lose all unspent mana."
59,Psionic Blast,Psionic Blast deals 4 damage to any target and 2 damage to you.
60,Siren's Call,"Cast this spell only during an opponent's turn, before attackers are declared.
Creatures the active player controls attack this turn if able.
At the beginning of the next end step, destroy all non-Wall creatures that player controls that didn't attack this turn. Ignore this effect for each creature the player didn't control continuously since the beginning of the turn."
